Активность [ACTIVE];Сортировка [SORT];Название [NAME];Игнорировать параметры [IGNORE_PARAMETERS];Список параметров [IGNORE_PARAMETERS_LIST];Адрес SEO-страницы [URL];Новый адрес SEO-страницы [URL_NEW];Редиректить на новый адрес [REDIRECT_ON];Закрыть от индексации [NO_INDEX];Установить канонический урл [CANONICAL_ON];Включить в карту сайта [SITEMAP];Заголовок TITLE [TITLE];Заголовок H1 [ADDITIONAL_TITLE];META_DESCRIPTION [META_DESCRIPTION];META_KEYWORDS [META_KEYWORDS];Цепочка навигации [BREAD_CRUMB];Действия с цепочкой навигации [BREAD_CRUMB_TYPE];Детальный текст [DETAIL_TEXT];Тип детального текста [DETAIL_TEXT_TYPE]
Y;500;Даниловский район;2;;"/moskva/novostroyki/index.php?search=[{""id"":""area_252"",""title"":""Даниловский%20р-н"",""exclude"":false}]&sort=price&sortBy=desc";/moskva/novostroyki/danilovskiy/;Y;N;N;N;Даниловский район МО title %минимальная стоимость%;Даниловский район МО H1;Даниловский район МО описание DESCRIPTION;ключевые словечки KEYWORDS;;append;;text
Y;500;Tower Group;1;;/index.php;;Y;N;N;Y;Агентство недвижимости Tower Group в Москве и Санкт-Петербурге официальный сайт;;Официальный сайт агентства недвижимости Tower Group в Москве. Официальный партнер ведущих застройщиков, работаем с вторичной и загородной недвижимостью. Подбор недвижимости и сопровождение сделок.;;;N;;text
Y;500;Новостройки Москвы;1;;/moskva/novostroyki/index.php;;N;N;N;Y;Новостройки Москвы – Купить квартиру в новостройке от застройщика цены;Новостройки Москвы;Квартиры в новостройках Москвы и Подмосковья. Официальный партнер ведущих застройщиков, широкая база объектов недвижимости. Подбор и сопровождение сделок. Цены от застройщиков, работаем без комиссии.;;;N;"<h2>Купить квартиру в новостройке в Москве</h2>
<p>Прошедший 2020 год стал рекордным для первичного рынка недвижимости в столице. Количество сделок с физ. лицами впервые превысило 10 тысяч. Основная часть предложений - квартиры бизнес и элит класса. Эксперты проектного консалтинга прогнозируют рост интереса застройщиков в 2021-22 годах, ожидается запуск и расширение строительных проектов в Новой Москве. </p>
<p>Квартиры в новостройках Москвы остаются привлекательными для покупателей. Стоимость недвижимости с момента начала строительства (котлована) до ввода дома в эксплуатацию возрастает в среднем до 30% (против 7-10% в случае со «вторичкой» в том же районе). </p>
<p>Основная концентрация комплексов бизнес-класса располагаются в ЗАО и ЮЗАО: это районы Раменка, Можайский, Кунцево и др. Ярким представителем сегмента является ЖК «Фили Сити», который в районе Филевского парка. </p>
Тем, кто предпочитает заповедные места и природную гармонию, будет интересен ЖК <p> «Вереск», расположенный рядом с Серебряным бором. </p>
Каковы бы ни были ваши предпочтения — с нами Вы найдете вариант жилья, подходящий для Вас. </p>
<h2>Цены на квартиры от застройщиков</h2>
<p>В агентстве «Tower Group» клиентам гарантируются цены на новостройки от застройщика. Высокая ликвидность такого жилья считается лучшей инвестицией. Стоит отметить, квартира в новом комплексе в столице — гарантия комфорта, безопасности и развитой инфраструктуры. </p>
<h2>Актуальные предложения на рынке новостроек</h2>
<p>На нашем сайте Вы найдете подробное описание предложений первичного рынка Москвы. Наши брокеры готовы ответить на Ваши вопросы: достаточно позвонить нам или закажите обратный звонок. </p>";html
Y;500;Вторичная недвижимость Москвы;1;;/moskva/kupit-kvartiru/index.php;;N;N;N;Y;Купить квартиру в Москве на вторичном рынке – Цены на вторичное жилье;Вторичная недвижимость Москвы;Продажа квартир на вторичном рынке Москвы и Подмосковья. Большой выбор объектов недвижимости, подбор и сопровождение сделок. Агентство недвижимости Tower Group.;;;N;"<h2>Купить квартиру в Москве</h2>
<p>Спрос на вторичную недвижимость в Москве неуклонно растет. В апреле 2021 года спрос покупателей увеличилась в 5 раз по сравнению с апрелем 2020-го. При этом усредненные показатели цен на «вторичку» и новостройки практически сравнялись. В этом сегменте большой выбор районов, включая исторический центр и окрестности достопримечательностей. </p>
<h2>Квартиры на вторичном рынке жилья</h2>
<p>Покупка квартиры на вторичном рынке жилья Москвы дает преимущество заселиться сразу после заключения сделки. В качестве инвестиции это тоже подходящий вариант — обжитую квартиру легко продать и выгодно сдавать. </p>
<p>Кроме того, в этом сегменте встречаются варианты white box — с завершенными ""грязными"" работами, но без финальной отделки, которую реализуете на Ваш вкус. Также предлагаются квартиры и с полной обстановкой и бытовой техникой. </p>
<p>В районах с вторичным жильем уже сложилась социальная инфраструктура (школы, почты, больницы), и транспортная доступность. </p>
<p>Что касается рисков, связанных с покупкой таких квартир, — сомнительная история, нарушение прав собственника, незаконная перепланировка, — о них можно не беспокоиться, если вы обращаетесь в «Tower Group». </p>
<h2>Гарантия безопасности сделки</h2>
<p>Купить вторичную квартиру в Санкт-Петербурге или Москве безопасно сможете с помощью брокеров нашего агентства. Каждый объект проверяется на наличие обременений и юридическую чистоту. Никаких сюрпризов Вас не ожидает — мы предоставляем исчерпывающую информацию о вашей будущей недвижимости до заключения сделки. </p>
";html
Y;500;Зарубежная недвижимость;1;;/moskva/nedvizhimost-za-rubezhom/index.php;;N;N;N;Y;Купить зарубежную недвижимость – Агентство по продаже зарубежной недвижимости в Москве и Санкт-Петербурге;Зарубежная недвижимость;Продажа зарубежной недвижимости, инвестиции в проекты реновации и девелопмента. Большой выбор объектов недвижимости, подбор и сопровождение сделок. Агентство недвижимости Tower Group в Москве и Санкт-Петербурге.;;;N;;text
Y;500;Загородная недвижимость Москвы;1;;/moskva/kupit-dom/index.php;;Y;N;N;Y;Купить загородную недвижимость в Московской области – Агентство по продаже загородной недвижимости в Москве;Загородная недвижимость Москвы;Продажа домов, коттеджей и земельных участков в коттеджных поселках Московской области. Большой выбор загородной недвижимости, подбор и сопровождение сделок. Агентство недвижимости Tower Group.;;;N;"<h2>Купить загородную недвижимость</h2>
<p>Весной 2020-го спрос на недвижимость в Подмосковье вырос на 30-50%. Всеобщий локдаун еще раз показал, насколько велико стремление жителей мегаполиса вырваться из города в тихие и заповедные места.  Этот сегмент рынка полон интересных объектов: выбор зависит исходя из личных предпочтений каждого.</p>
<h2>Загородная недвижимость в Московской области</h2>
<p>Большинство москвичей едут за город за чистым воздухом и природными красотами. С экологической точки зрения, благоприятной считается западная часть Подмосковья: Минское, Можайское, Дмитровское шоссе. В этих направлениях без труда найдете чистые водоемы и ничем не испорченную живописную природу. </p>
<p>Основной объем предложений загородной недвижимости в Московской области сконцентрирован на востоке: это Новорязанское и Новорижское направления. </p>
<p>Ликвидным средним вариантом считается коттедж площадью до 150 кв. м. на расстоянии до Москвы 30 км. </p>
<p>Однако, в связи с урбанизацией ближнего Подмосковья покупатели выбирают перспективные районы в 50 км до МКАД и дальше. </p>
<h2>Разнообразие локаций и цен</h2>
<p>В агентстве «Tower Group» продажа загородной недвижимости ведется во всех направлениях Московской области. Чтобы оценить природную среду и транспортную доступность, выбирайте дом или участок в теплое время года: тогда увидите красоту ландшафта и состояние траффика в «горячий» период. Наши брокеры готовы помочь в выборе лучшего предложения —  свяжитесь с нами или закажите обратный звонок. </p>
";html
Y;500;Политика конфиденциальности обработки персональных данных;1;;/moskva/index.php;/moskva/privacy/;N;N;N;Y;Политика конфиденциальности обработки персональных данных – Агентство Tower Group;Политика конфиденциальности обработки персональных данных;Политика конфиденциальности включает в себя положения о сборе и использовании личных данных и другой информации о пользователе при нахождении его и активном использовании ресурса towergroup.ru.;;;N;;text
Y;500;Контакты;1;;/moskva/contacts/index.php;;Y;N;N;Y;Агентство недвижимости Tower Group в Москве и Санкт-Петербурге: контакты, телефон и адрес;;Контакты, телефон и адреса агентства недвижимости Tower Group. Официальный партнер ведущих застройщиков Санкт-Петербурга и Москвы. Работаем с вторичной и загородной недвижимостью в лучших проектах.;;;N;;text
Y;500;О компании;1;;/moskva/about/index.php;;Y;N;N;Y;О компании Tower Group – Агентство недвижимости бизнес и премиум класса;;Агентство недвижимости бизнес и премиум класса Tower Group. Официальный партнер ведущих застройщиков Санкт-Петербурга и Москвы. Работаем с вторичной и загородной недвижимостью в лучших проектах.;;;N;;text
Y;500;Услуги;1;;/moskva/about/services/index.php;;Y;N;N;Y;Услуги агентства недвижимости Tower Group в Москве и Санкт-Петербурге;;Услуги по подбору недвижимости и сопровождению сделок. Агентство недвижимости бизнес и премиум класса Tower Group. Официальный партнер ведущих застройщиков Санкт-Петербурга и Москвы.;;;N;;text
